name,card_type,mana_cost,converted_cost,rules_text,rarity,latest_set,all_sets,legal_formats,power,toughness
Alpine Meadow,Snow Land  — Mountain Plains,[],0,<i>(: Add  or .)</i>Alpine Meadow enters the battlefield tapped.,Basic Land,Kaldheim,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Explorer']",a,n
Alpine Moon,Enchantment,['Red'],1,"As Alpine Moon enters the battlefield, choose a nonbasic land card name.Lands your opponents control with the chosen name lose all land types and abilities, and they gain ""Tap : Add one mana of any color.""",Rare,Core Set 2019,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Explorer']",m,n
Alpine Watchdog,"Creature  — Dog
                                (2/2)","['1', 'White']",2,Vigilance <i>(Attacking doesn't cause this creature to tap.)</i>,Common,Core Set 2021,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper', 'Historic', 'Explorer']",2,2
"Alrund, God of the Cosmos","Legendary Creature  — God
                                (1/1)","['3', 'Blue', 'Blue']",5,,,,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Explorer']",1,1
Alrund's Epiphany,Sorcery,"['5', 'Blue', 'Blue']",7,"Create two 1/1 blue Bird creature tokens with flying. Take an extra turn after this one. Exile Alrund's Epiphany.Foretell 4 Blue Blue  <i>(During your turn, you may pay  and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)</i>",Mythic Rare,Kaldheim,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Explorer']",c,r
Alseid of Life's Bounty,"Enchantment Creature  — Nymph
                                (1/1)",['White'],1,"Lifelink1 , Sacrifice Alseid of Life's Bounty: Target creature or enchantment you control gains protection from the color of your choice until end of turn.",Uncommon,Jumpstart 2022,"['Theros Beyond Death (Uncommon)', 'Jumpstart 2022 (Uncommon)']","['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Explorer']",1,1
Altac Bloodseeker,"Creature  — Human Berserker
                                (2/1)","['1', 'Red']",2,"Whenever a creature an opponent controls dies, Altac Bloodseeker gets +2/+0 and gains first strike and haste until end of turn. <i>(It deals combat damage before creatures without first strike, and it can attack and  as soon as it comes under your control.)</i>",Uncommon,Magic 2015 Core Set,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander']",2,1
Altar Golem,"Artifact Creature  — Golem
                                (*/*)",['7'],7,TrampleAltar Golem's power and toughness are each equal to the number of creatures on the battlefield.Altar Golem doesn't untap during your untap step.Tap five untapped creatures you control: Untap Altar Golem.,Rare,Eventide,1,"['Modern', 'Legacy', 'Vintage', 'Commander']",*,*
Altar of Bhaal,Artifact,"['1', 'Black']",2,,,,1,"['Legacy', 'Vintage', 'Commander', 'Historic', 'Alchemy']",f,c
Altar of Bone,Sorcery,"['Green', 'White']",2,"As an additional cost to cast this spell, sacrifice a creature.Search your library for a creature card, reveal it, put it into your hand, then shuffle.",Rare,Ice Age,1,"['Legacy', 'Vintage', 'Commander']",c,r
Altar of Dementia,Artifact,['2'],2,Sacrifice a creature: Target player mills cards equal to the sacrificed creature's power.,Mythic Rare,The Brothers' War Retro Artifacts,"['Tempest (Rare)', 'Magic: The Gathering—Conspiracy (Rare)', 'Modern Horizons (Rare)', ""The Brothers' War Retro Artifacts (Mythic Rare)""]","['Modern', 'Legacy', 'Vintage', 'Commander', 'Historic']",f,c
Altar of Shadows,Artifact,['7'],7,"At the beginning of your precombat main phase, add Black  for each charge counter on Altar of Shadows.7 , Tap : Destroy target creature. Then put a charge counter on Altar of Shadows.",Rare,Mirrodin,1,"['Modern', 'Legacy', 'Vintage', 'Commander']",f,c
Altar of the Brood,Artifact,['1'],1,"Whenever another permanent enters the battlefield under your control, each opponent mills a card.",Rare,Ugin's Fate promos,"['Khans of Tarkir (Rare)', ""Ugin's Fate promos (Rare)""]","['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander']",f,c
Altar of the Goyf,Tribal Artifact  — Lhurgoyf,['5'],5,"Whenever a creature you control attacks alone, it gets +X/+X until end of turn, where X is the number of card types among cards in all graveyards.Lhurgoyf creatures you control have trample.",Uncommon,Modern Horizons 2,1,"['Modern', 'Legacy', 'Vintage', 'Commander']",g,y
Altar of the Lost,Artifact,['3'],3,Altar of the Lost enters the battlefield tapped.Tap : Add two mana in any combination of colors. Spend this mana only to cast spells with flashback from a graveyard.,Uncommon,Dark Ascension,1,"['Modern', 'Legacy', 'Vintage', 'Commander']",f,c
Altar of the Pantheon,Artifact,['3'],3,"Your devotion to each color and each combination of colors is increased by one.Tap : Add one mana of any color. If you control a God, a Demigod, or a legendary enchantment, you gain 1 life.",Common,Theros Beyond Death,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper', 'Historic', 'Explorer']",f,c
Altar's Light,Instant,"['2', 'White', 'White']",4,Exile target artifact or enchantment.,Uncommon,Mirrodin,1,"['Modern', 'Legacy', 'Vintage', 'Commander']",t,n
Altar's Reap,Instant,"['1', 'Black']",2,"As an additional cost to cast this spell, sacrifice a creature.Draw two cards.",Common,Commander Anthology,"['Innistrad (Common)', 'Magic 2014 Core Set (Common)', 'Magic: The Gathering—Conspiracy (Common)', 'Battle for Zendikar (Common)', 'Commander 2015 (Common)', 'Conspiracy: Take the Crown (Common)', 'Duel Decks: Nissa vs. Ob Nixilis (Common)', 'Commander Anthology (Common)']","['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",t,n
Order of Midnight (Alter Fate),Sorcery — Adventure,"['1', 'Black']",2,,,,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Explorer']",t,r
Alter Reality,Instant,"['1', 'Blue']",2,Change the text of target spell or permanent by replacing all instances of one color word with another. <i>(This effect lasts indefinitely.)</i>Flashback 1 Blue  <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>,Rare,Torment,1,"['Legacy', 'Vintage', 'Commander']",t,n
Altered Ego,"Creature  — Shapeshifter
                                (0/0)","['Variable Colorless', '2', 'Green', 'Blue']",4,"This spell can't be countered.You may have Altered Ego enter the battlefield as a copy of any creature on the battlefield, except it enters with X additional +1/+1 counters on it.",Rare,Shadows over Innistrad,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander']",0,0
Aluren,Enchantment,"['2', 'Green', 'Green']",4,Any player may cast creature spells with mana value 3 or less without paying their mana costs and as though they had flash.,Rare,Tempest Remastered,"['Tempest (Rare)', 'Tempest Remastered (Rare)']","['Legacy', 'Vintage', 'Commander']",m,n
Always Watching,Enchantment,"['1', 'White', 'White']",3,Nontoken creatures you control get +1/+1 and have vigilance.,Rare,Game Night,"['Shadows over Innistrad (Rare)', 'Game Night (Rare)']","['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander']",m,n
Amaranthine Wall,"Artifact Creature  — Wall
                                (0/6)",['4'],4,"Defender2 : Amaranthine Wall gains indestructible until end of turn. <i>(Damage and effects that say ""destroy"" don't destroy it.)</i>",Uncommon,Dominaria,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Explorer']",0,6
"Amareth, the Lustrous","Legendary Creature  — Dragon
                                (6/6)","['3', 'Green', 'White', 'Blue']",6,"FlyingWhenever another permanent enters the battlefield under your control, look at the top card of your library. If it shares a card type with that permanent, you may reveal that card and put it into your hand.",Rare,Commander Legends,1,"['Legacy', 'Vintage', 'Commander']",6,6
Amass the Components,Sorcery,"['3', 'Blue']",4,"Draw three cards, then put a card from your hand on the bottom of your library.",Common,Iconic Masters,"['Avacyn Restored (Common)', 'Iconic Masters (Common)']","['Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",c,r
Amateur Auteur,"Creature  — Human
                                (2/2)","['1', 'White']",2,Sacrifice Amateur Auteur: Destroy target enchantment.,Common,Unstable,1,[],2,2
Ambassador Laquatus,"Legendary Creature  — Merfolk Wizard
                                (1/3)","['1', 'Blue', 'Blue']",3,3 : Target player mills three cards.,Rare,Tenth Edition,"['Torment (Rare)', 'Tenth Edition (Rare)']","['Modern', 'Legacy', 'Vintage', 'Commander']",1,3
Ambassador Oak,"Creature  — Treefolk Warrior
                                (3/3)","['3', 'Green']",4,"When Ambassador Oak enters the battlefield, create a 1/1 green Elf Warrior creature token.",Common,Jumpstart,"['Morningtide (Common)', 'Duel Decks: Mind vs. Might (Common)', 'Masters 25 (Common)', 'Jumpstart (Common)']","['Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper', 'Historic', 'Explorer']",3,3
Amber Gristle O'Maul,"Legendary Creature  — Dwarf Cleric
                                (3/3)","['3', 'Red']",4,"HasteWhenever Amber Gristle O'Maul attacks, you may discard your hand. If you do, draw a card for each player being attacked.Choose a Background <i>(You can have a Background as a second commander.)</i>",Uncommon,Commander Legends: Battle for Baldur's Gate,1,"['Legacy', 'Vintage', 'Commander']",3,3
Amber Prison,Artifact,['4'],4,"You may choose not to untap Amber Prison during your untap step.4 , Tap : Tap target artifact, creature, or land. That permanent doesn't untap during its controller's untap step for as long as Amber Prison remains tapped.",Rare,Mirage,"['Classic Sixth Edition (Rare)', 'Mirage (Rare)']","['Legacy', 'Vintage', 'Commander']",f,c
Ambiguity,Enchantment,"['2', 'Blue', 'Blue']",4,"Whenever a player plays a spell that counters a spell that has been played or a player plays a spell that comes into play with counters, that player may counter the next spell played or put an additional counter on a permanent that has already been played, but not countered.",Rare,Unhinged,1,[],m,n
Ambition's Cost,Sorcery,"['3', 'Black']",4,You draw three cards and you lose 3 life.,Uncommon,Dominaria United Commander,"['Eighth Edition (Uncommon)', 'Portal Three Kingdoms (Rare)', 'Commander 2015 (Uncommon)', 'Duel Decks: Nissa vs. Ob Nixilis (Uncommon)', 'Commander Anthology (Uncommon)', 'Commander 2017 (Uncommon)', 'Ikoria Commander (Uncommon)', 'Kaldheim Commander (Uncommon)', 'Commander 2021 (Uncommon)', ""Commander Legends: Battle for Baldur's Gate (Uncommon)"", ""Alchemy Horizons: Baldur's Gate (Uncommon)"", 'Dominaria United Commander (Uncommon)']","['Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Alchemy']",c,r
Ambitious Aetherborn,"Creature  — Aetherborn Artificer
                                (4/3)","['4', 'Black']",5,"Fabricate 1 <i>(When this creature enters the battlefield, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.)</i>",Common,Kaladesh,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",4,3
Ambitious Assault,Instant,"['2', 'Red']",3,"Creatures you control get +2/+0 until end of turn. If you control a modified creature, draw a card. <i>(Equipment, Auras you control, and counters are modifications.)</i>",Common,Kamigawa: Neon Dynasty,1,"['Standard', 'Brawl', 'Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper', 'Historic', 'Alchemy', 'Explorer']",t,n
Ambitious Dragonborn,"Creature  — Dragon Barbarian
                                (0/0)","['3', 'Green']",4,"Ambitious Dragonborn enters the battlefield with X +1/+1 counters on it, where X is the greatest power among creatures you control and creature cards in your graveyard.",Common,Alchemy Horizons: Baldur's Gate,"[""Commander Legends: Battle for Baldur's Gate (Common)"", ""Alchemy Horizons: Baldur's Gate (Common)""]","['Legacy', 'Vintage', 'Commander', 'Pauper', 'Historic', 'Alchemy']",0,0
Ambitious Farmhand,"Creature  — Human Peasant
                                (1/1)","['1', 'White']",2,,,,1,"['Standard', 'Brawl', 'Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Alchemy', 'Explorer']",1,1
Ambulatory Edifice,"Artifact Creature — — Phyrexian Construct
                                (3/2)","['2', 'Black']",3,"When Ambulatory Edifice enters the battlefield, you may pay 2 life. When you do, target creature gets -1/-1 until end of turn.",Uncommon,Phyrexia: All Will Be One,1,"['Standard', 'Brawl', 'Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Alchemy', 'Explorer']",3,2
Ambuscade,Instant,"['2', 'Green']",3,Target creature you control gets +1/+0 until end of turn. It deals damage equal to its power to target creature an opponent controls.,Common,Double Masters 2022,"['Hour of Devastation (Common)', 'Double Masters 2022 (Common)']","['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",t,n
Ambuscade Shaman,"Creature  — Orc Shaman
                                (2/2)","['2', 'Black']",3,"Whenever Ambuscade Shaman or another creature enters the battlefield under your control, that creature gets +2/+2 until end of turn.Dash 3 Black  <i>(You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)</i>",Uncommon,Dragons of Tarkir,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander']",2,2
Ambush,Instant,"['3', 'Red']",4,Blocking creatures gain first strike until end of turn.,Common,Homelands,1,"['Legacy', 'Vintage', 'Commander', 'Pauper']",t,n
Ambush Commander,"Creature  — Elf
                                (2/2)","['3', 'Green', 'Green']",5,"Forests you control are 1/1 green Elf creatures that are still lands.1 Green , Sacrifice an Elf: Target creature gets +3/+3 until end of turn.",Rare,"Duel Decks Anthology, Elves vs. Goblins","['Scourge (Rare)', 'Duel Decks: Elves vs. Goblins (Rare)', 'Duel Decks Anthology, Elves vs. Goblins (Rare)']","['Legacy', 'Vintage', 'Commander']",2,2
Ambush Krotiq,"Creature  — Insect
                                (5/5)","['5', 'Green']",6,"TrampleWhen Ambush Krotiq enters the battlefield, return another creature you control to its owner's hand.",Common,Fate Reforged,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",5,5
Ambush Paratrooper,"Creature  — Human Soldier
                                (1/2)","['1', 'White']",2,FlashFlying5 : Creatures you control get +1/+1 until end of turn.,Common,The Brothers' War,1,"['Standard', 'Brawl', 'Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper', 'Historic', 'Alchemy', 'Explorer']",1,2
Ambush Party,"Creature  — Human Rogue
                                (3/1)","['4', 'Red']",5,"First strike, haste",Common,Masters Edition II,"['Fifth Edition (Common)', 'Homelands (Common)', 'Masters Edition II (Common)']","['Legacy', 'Vintage', 'Commander', 'Pauper']",3,1
Ambush Viper,"Creature  — Snake
                                (2/1)","['1', 'Green']",2,FlashDeathtouch,Common,Commander Legends,"['Innistrad (Common)', 'Commander Legends (Common)']","['Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",2,1
Amethyst Dragon,"Creature  — Dragon
                                (4/4)","['4', 'Red', 'Red']",6,,,,1,"['Legacy', 'Vintage', 'Commander']",4,4
"Aminatou, the Fateshifter","Legendary Planeswalker  — Aminatou
                                (3)","['White', 'Blue', 'Black']",3,"+1: Draw a card, then put a card from your hand on top of your library.−1: Exile another target permanent you own, then return it to the battlefield under your control.−6: Choose left or right. Each player gains control of all nonland permanents other than Aminatou, the Fateshifter controlled by the next player in the chosen direction.Aminatou, the Fateshifter can be your commander.",Mythic Rare,Double Masters 2022,"['Commander 2018 (Mythic Rare)', 'Double Masters 2022 (Mythic Rare)']","['Legacy', 'Vintage', 'Commander']", ,3
Aminatou's Augury,Sorcery,"['6', 'Blue', 'Blue']",8,"Exile the top eight cards of your library. You may put a land card from among them onto the battlefield. Until end of turn, for each nonland card type, you may cast a spell of that type from among the exiled cards without paying its mana cost.",Rare,Commander 2018,1,"['Legacy', 'Vintage', 'Commander']",c,r
Ammit Eternal,"Creature  — Zombie Crocodile Demon
                                (5/5)","['2', 'Black']",3,"Afflict 3 <i>(Whenever this creature becomes blocked, defending player loses 3 life.)</i>Whenever an opponent casts a spell, put a -1/-1 counter on Ammit Eternal.Whenever Ammit Eternal deals combat damage to a player, remove all -1/-1 counters from it.",Rare,Historic Anthology 4,"['Hour of Devastation (Rare)', 'Historic Anthology 4 (Rare)']","['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Explorer']",5,5
Amnesia,Sorcery,"['3', 'Blue', 'Blue', 'Blue']",6,Target player reveals their hand and discards all nonland cards.,Rare,Masters Edition,"['The Dark (Uncommon)', 'Masters Edition (Rare)']","['Legacy', 'Vintage', 'Commander']",c,r
Amoeboid Changeling,"Creature  — Shapeshifter
                                (1/1)","['1', 'Blue']",2,Changeling <i>(This card is every creature type.)</i>Tap : Target creature gains all creature types until end of turn.Tap : Target creature loses all creature types until end of turn.,Common,Jumpstart 2022,"['Lorwyn (Common)', 'Premium Deck Series: Slivers (Common)', 'Jumpstart 2022 (Common)']","['Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",1,1
Amok,Enchantment,"['1', 'Red']",2,"1 , Discard a card at random: Put a +1/+1 counter on target creature.",Rare,Stronghold,1,"['Legacy', 'Vintage', 'Commander']",m,n
Amorphous Axe,Artifact  — Equipment,['2'],2,Equipped creature gets +3/+0 and is every creature type.Equip 3  <i>(: Attach to target creature you control. Equip only as a sorcery.)</i>,Common,Commander Legends,"['Modern Horizons (Common)', 'Commander Legends (Common)']","['Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",m,n
Amped Up,Sorcery,"['5', 'Red']",6,"This spell costs 1  less to cast for each electrical socket in a wall or floor you can see from your seat.Gain control of target creature until end of turn. Untap that creature. Until end of turn, it gets +3/+0 and gains haste.",Common,Unfinity (Acorn),1,[],c,r
Amphibious Kavu,"Creature  — Kavu
                                (2/2)","['2', 'Green']",3,"Whenever Amphibious Kavu blocks or becomes blocked by one or more blue and/or black creatures, Amphibious Kavu gets +3/+3 until end of turn.",Common,Planeshift,1,"['Legacy', 'Vintage', 'Commander', 'Pauper']",2,2
Amphin Cutthroat,"Creature  — Salamander Rogue
                                (2/4)","['3', 'Blue']",4,,Common,Magic 2012,1,"['Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",2,4
Amphin Mutineer,"Creature  — Salamander Pirate
                                (3/3)","['3', 'Blue']",4,"When Amphin Mutineer enters the battlefield, exile up to one target non-Salamander creature. That creature's controller creates a 4/3 blue Salamander Warrior creature token.Encore 4 Blue Blue  <i>(, Exile this card from your graveyard: For each opponent, create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.)</i>",Rare,Commander Legends,1,"['Legacy', 'Vintage', 'Commander']",3,3
Amphin Pathmage,"Creature  — Salamander Wizard
                                (3/2)","['3', 'Blue']",4,2 Blue : Target creature can't be blocked this turn.,Common,Magic 2015 Core Set,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",3,2
Amplifire,"Creature  — Elemental
                                (1/1)","['2', 'Red', 'Red']",4,"At the beginning of your upkeep, reveal cards from the top of your library until you reveal a creature card. Until your next turn, Amplifire's base power becomes twice that card's power and its base toughness becomes twice that card's toughness. Put the revealed cards on the bottom of your library in a random order.",Rare,Ravnica Allegiance,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Explorer']",1,1
Ampryn Tactician,"Creature  — Human Soldier
                                (3/3)","['2', 'White', 'White']",4,"When Ampryn Tactician enters the battlefield, creatures you control get +1/+1 until end of turn.",Common,Magic Origins,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",3,3
Amrou Kithkin,"Creature  — Kithkin
                                (1/1)","['White', 'White']",2,Amrou Kithkin can't be blocked by creatures with power 3 or greater.,Common,Masters Edition III,"['Fourth Edition (Common)', 'Legends (Common)', 'Masters Edition III (Common)']","['Legacy', 'Vintage', 'Commander', 'Pauper']",1,1
Amrou Scout,"Creature  — Kithkin Rebel Scout
                                (2/1)","['1', 'White']",2,"4 , Tap : Search your library for a Rebel permanent card with mana value 3 or less, put it onto the battlefield, then shuffle.",Common,Time Spiral Remastered,"['Time Spiral (Common)', 'Modern Masters (Common)', 'Time Spiral Remastered (Common)']","['Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",2,1
Amrou Seekers,"Creature  — Kithkin Rebel
                                (2/2)","['2', 'White']",3,Amrou Seekers can't be blocked except by artifact creatures and/or white creatures.,Common,Time Spiral Remastered,"['Time Spiral (Common)', 'Modern Masters (Common)', 'Time Spiral Remastered (Common)']","['Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",2,2
Amugaba,"Creature  — Illusion
                                (6/6)","['5', 'Blue', 'Blue']",7,"Flying2 Blue , Discard a card: Return Amugaba to its owner's hand.",Rare,Odyssey,1,"['Legacy', 'Vintage', 'Commander']",6,6
Amulet of Kroog,Artifact,['2'],2,"2 , Tap : Prevent the next 1 damage that would be dealt to any target this turn.",Common,Masters Edition IV,"['Fourth Edition (Common)', 'Fifth Edition (Common)', 'Antiquities (Common)', 'Masters Edition IV (Common)']","['Legacy', 'Vintage', 'Commander', 'Pauper']",f,c
Amulet of Quoz,Artifact,['6'],6,"Remove Amulet of Quoz from your deck before playing if you're not playing for ante.Tap , Sacrifice Amulet of Quoz: Target opponent may ante the top card of their library. If they don't, you flip a coin. If you win the flip, that player loses the game. If you lose the flip, you lose the game. Activate only during your upkeep.",Rare,Ice Age,1,"['Legacy', 'Vintage', 'Commander']",f,c
Amulet of Safekeeping,Artifact,['2'],2,"Whenever you become the target of a spell or ability an opponent controls, counter that spell or ability unless its controller pays 1 .Creature tokens get -1/-0.",Rare,Core Set 2019,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Explorer']",f,c
Amulet of Unmaking,Artifact,['5'],5,"5 , Tap , Exile Amulet of Unmaking: Exile target artifact, creature, or land. Activate only as a sorcery.",Rare,Mirage,1,"['Legacy', 'Vintage', 'Commander']",f,c
Amulet of Vigor,Artifact,['1'],1,"Whenever a permanent enters the battlefield tapped and under your control, untap it.",Rare,Secret Lair Drop,"['Worldwake (Rare)', 'Secret Lair Drop (Rare)']","['Modern', 'Legacy', 'Vintage', 'Commander']",f,c
An Incident Has Occurred,Sorcery,"['1', 'Green']",2,"Choose one or both —• Destroy target creature with flying.• Destroy target Attraction. <i>(It's put into its owner's junkyard.)</i>You may apologize. If you do, you gain 3 life.",Common,Unfinity (Acorn),1,[],c,r
An Offer You Can't Refuse,Instant,['Blue'],1,"Counter target noncreature spell. Its controller creates two Treasure tokens. <i>(They're artifacts with "", Sacrifice this artifact: Add one mana of any color."")</i>",Uncommon,Streets of New Capenna,1,"['Standard', 'Brawl', 'Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Alchemy', 'Explorer']",t,n
Ana Battlemage,"Creature  — Human Wizard
                                (2/2)","['2', 'Green']",3,"Kicker 2 Blue  and/or 1 Black  <I>(You may pay an additional </I><I> and/or </I><I> as you cast this spell.)</I>When Ana Battlemage enters the battlefield, if it was kicked with its 2 Blue  kicker, target player discards three cards.When Ana Battlemage enters the battlefield, if it was kicked with its 1 Black  kicker, tap target untapped creature and that creature deals damage equal to its power to its controller.",Uncommon,Planar Chaos,1,"['Modern', 'Legacy', 'Vintage', 'Commander']",2,2
Ana Disciple,"Creature  — Human Wizard
                                (1/1)",['Green'],1,"Blue , Tap : Target creature gains flying until end of turn.Black , Tap : Target creature gets -2/-0 until end of turn.",Common,Apocalypse,1,"['Legacy', 'Vintage', 'Commander', 'Pauper']",1,1
Ana Sanctuary,Enchantment,"['2', 'Green']",3,"At the beginning of your upkeep, if you control a blue or black permanent, target creature gets +1/+1 until end of turn. If you control a blue permanent and a black permanent, that creature gets +5/+5 until end of turn instead.",Uncommon,Apocalypse,1,"['Legacy', 'Vintage', 'Commander']",m,n
Anaba Ancestor,"Creature  — Minotaur Spirit
                                (1/1)","['1', 'Red']",2,Tap : Another target Minotaur creature gets +1/+1 until end of turn.,Common,Masters Edition III,"['Homelands (Rare)', 'Masters Edition III (Common)']","['Legacy', 'Vintage', 'Commander', 'Pauper']",1,1
Anaba Bodyguard,"Creature  — Minotaur
                                (2/3)","['3', 'Red']",4,First strike <i>(This creature deals combat damage before creatures without first strike.)</i>,Common,Tenth Edition,"['Classic Sixth Edition (Common)', 'Homelands (Common)', 'Tenth Edition (Common)']","['Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",2,3
Anaba Shaman,"Creature  — Minotaur Shaman
                                (2/2)","['3', 'Red']",4,"Red , Tap : Anaba Shaman deals 1 damage to any target.",Common,Homelands,"['Classic Sixth Edition (Common)', 'Eighth Edition (Common)', 'Ninth Edition (Common)', 'Homelands (Common)']","['Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",2,2
Anaba Spirit Crafter,"Creature  — Minotaur Shaman
                                (1/3)","['2', 'Red', 'Red']",4,Minotaur creatures get +1/+0.,Common,Masters Edition III,"['Homelands (Rare)', 'Masters Edition III (Common)']","['Legacy', 'Vintage', 'Commander', 'Pauper']",1,3
Anaconda,"Creature  — Snake
                                (3/3)","['3', 'Green']",4,Swampwalk <i>(This creature can't be blocked as long as defending player controls a Swamp.)</i>,Uncommon,Portal,"['Seventh Edition (Uncommon)', 'Ninth Edition (Uncommon)', ""Urza's Saga (Uncommon)"", 'Portal (Uncommon)']","['Modern', 'Legacy', 'Vintage', 'Commander']",3,3
"Anafenza, Kin-Tree Spirit","Legendary Creature  — Spirit Soldier
                                (2/2)","['White', 'White']",2,"Whenever another nontoken creature enters the battlefield under your control, bolster 1. <i>(Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)</i>",Rare,Dominaria United Commander,"['Dragons of Tarkir (Rare)', 'Dominaria United Commander (Rare)']","['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander']",2,2
"Anafenza, the Foremost","Legendary Creature  — Human Soldier
                                (4/4)","['White', 'Black', 'Green']",3,"Whenever Anafenza, the Foremost attacks, put a +1/+1 counter on another target tapped creature you control.If a nontoken creature an opponent owns would die or a creature card not on the battlefield would be put into an opponent's graveyard, exile that card instead.",Mythic Rare,Khans of Tarkir,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander']",4,4
"Anara, Wolvid Familiar","Legendary Creature  — Wolf Beast
                                (4/4)","['3', 'Green']",4,"As long as it's your turn, commanders you control have indestructible. <i>(Effects that say ""destroy"" don't destroy them. A creature with indestructible can't be destroyed by damage.)</i>Partner <i>(You can have two commanders if both have partner.)</i>",Uncommon,Commander Legends,1,"['Legacy', 'Vintage', 'Commander']",4,4
Anarchist,"Creature  — Human Wizard
                                (2/2)","['4', 'Red']",5,"When Anarchist enters the battlefield, you may return target sorcery card from your graveyard to your hand.",Common,Tempest Remastered,"['Ninth Edition (Uncommon)', 'Exodus (Common)', 'Odyssey (Common)', 'Tempest Remastered (Common)']","['Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",2,2
Anarchy,Sorcery,"['2', 'Red', 'Red']",4,Destroy all white permanents.,Rare,Masters Edition II,"['Ice Age (Uncommon)', 'Masters Edition II (Rare)']","['Legacy', 'Vintage', 'Commander']",c,r
Anathemancer,"Creature  — Zombie Wizard
                                (2/2)","['1', 'Black', 'Red']",3,"When Anathemancer enters the battlefield, it deals damage to target player equal to the number of nonbasic lands that player controls.Unearth 5 Black Red  <i>(: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)</i>",Uncommon,Alara Reborn,1,"['Modern', 'Legacy', 'Vintage', 'Commander']",2,2
Anavolver,"Creature  — Volver
                                (3/3)","['3', 'Green']",4,"Kicker 1 Blue  and/or Black  <I>(You may pay an additional </I><I> and/or </I><I> as you cast this spell.)</I>If Anavolver was kicked with its 1 Blue  kicker, it enters the battlefield with two +1/+1 counters on it and with flying.If Anavolver was kicked with its Black  kicker, it enters the battlefield with a +1/+1 counter on it and with ""Pay 3 life: Regenerate Anavolver.""",Rare,Apocalypse,1,"['Legacy', 'Vintage', 'Commander']",3,3
